Establecimiento;Tipo;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;Plazas
AARON;BAR;LOS PRINCIPES, S/N. L-33 AVDA. ;0;38000;0;0;0;SANTA CRUZ DE TENERIFE;0
ABACO;PUB;EL DURAZNO ALTO, S/N. URB. ;0;38400;0;0;0;PUERTO DE LA CRUZ;150
ABADES;RESTAURANTE;AUTOPISTA SUR KM.44.200  (ESTACION SERVIOS REPSOL);0;38588;0;0;0;ARICO;50
ABADIA BULEBAR, LA;RESTAURANTE;SAN MIGUEL-LAS ZOCAS KM.5 CTRA.  ;0;38620;0;0;0;SAN MIGUEL;136
ABANICOS, LOS;RESTAURANTE;LA PALMA, 93  ;0;38650;0;0;0;ARONA;34
ABBASIA DONNER KEBAB;HELADERIA;C.C. ALCAMPO LA VILLA 2, L-52B;0;38000;0;0;0;LA OROTAVA;0
ABBEY ROAD;BAR;C.C. VERONICA I LOC. 6,7,8 ;0;38000;0;0;0;ARONA;60
ABBOS CHIPPY;BAR;URB. CHAYOFITA COSTA DEL SILENCIO ;0;38640;0;0;0;ARONA;16
ABEDUL RESTAURANTE RUSO (BERIOZKA);RESTAURANTE;NIRVANA, EDIF. - MONTAÑA CHICA ;0;38650;0;0;0;ARONA;65
ABEJERA, LA;BAR;LA ABEJERA ;0;38000;0;0;0;LA OROTAVA;0
ABERDEEN STEAK HOUSE;RESTAURANTE;SANTIAGO PUIG, S/N. AVDA. (PARQUE CATLEYA, L-9);0;38660;330172;3105261;20;ARONA;60
ABERDEEN STEAK HOUSE;RESTAURANTE;EDIF. OCEAN COUNTRY CLUB II, L-H/I;0;38660;0;0;0;SAN MIGUEL;85
ABERDEEN STEAK HOUSE;RESTAURANTE;LAGUNA PARK I, L-08 C.C. ;0;38660;0;0;0;ADEJE;36
ABERDEEN STEAK HOUSE;RESTAURANTE;PLAYA FAÑABE, L-37 C.C. ;0;38660;0;0;0;ADEJE;96
ABERDEEN STEAK HOUSE;RESTAURANTE;SANTA MARIA, L-20  C.C.;0;38670;0;0;0;ADEJE;118
ABERDEEN STEAK HOUSE;RESTAURANTE;LUIS DIAZ, 5 (APTOS. TENERIFE ROYAL GARDEN, L-1B);0;38660;330124;3104202;3;ARONA;130
ABERDEEN STEAK HOUSE;RESTAURANTE;PARAISO ROYAL, 25/26 URB. ;0;38660;330088;3105282;16;ARONA;64
ABERDEEN STEAK HOUSE;RESTAURANTE;LAS PALMERAS, L-16 C.C. ;0;38660;0;0;0;ARONA;60
ABERDEEN STEAK HOUSE;RESTAURANTE;ERNESTO SARTI, 23 AVDA. (C.C. PARQUE ROYAL I, L-3B);0;38670;0;0;0;ADEJE;170
ABERDEEN STEAK HOUSE;RESTAURANTE;SANTIAGO I, L-103A C.C.;0;38683;319046;3125086;24;SANTIAGO DEL TEIDE;52
ABIAN;RESTAURANTE;BUZANADA, S/N. CTRA. (JUNTO AL PIRS) ;0;38626;0;0;0;ARONA;46
ABIERTAS, LAS;RESTAURANTE;LAS ABIERTAS, 41 ;0;38205;0;0;0;TACORONTE;0
ABIGAIL;BAR;TABORNO, 27 PZA.;0;38000;0;0;0;SANTA CRUZ DE TENERIFE;25
ABOGADO, EL;RESTAURANTE;GENERAL PUNTA HIDALGO, 35 CTRA.  ;0;38240;0;0;0;LA LAGUNA;50
ABONA;RESTAURANTE;AGUABUEY, 9 ;0;38600;0;0;0;GRANADILLA DE ABONA;40
ABORA;RESTAURANTE;MARITIMA, L-5 AVDA.  (EDIF. BUCANERO) ;0;38650;0;0;0;ARONA;16
ABORA;PIZZERIA;C/. RAMUJO, S/N. (EDIF. VOLCAN DE YAIZA);0;38626;0;0;0;ARONA;46
ABORA I;CAFETERIA;PASEO MARITIMO, S/N. (EDIF. BUCANERO, L-13);0;38650;0;0;0;ARONA;0
ABORA II;RESTAURANTE;PASEO MARITIMO, S/N. (EDIF. BUCANERO, L-11);0;38650;0;0;0;ARONA;36
ABORA II;BAR;C.C. ABORA, L-1;0;38660;0;0;0;ARONA;0
ABORDO;RESTAURANTE;C/. JUAN BARIAJO, 6 L-1 ;0;38650;0;0;0;ARONA;87
ABRANTE;RESTAURANTE;LA ZAMORA, 154 ;0;38000;0;0;0;LOS REALEJOS;50
ABRAZO DEL AMOR, EL (RASA SAYANG);RESTAURANTE;LAGOS DE FAÑABE, 57 C.C. ;0;38670;0;0;0;ADEJE;58
ABREU;RESTAURANTE;SAN CRISTOBAL, 41 ;0;38359;0;0;0;EL SAUZAL;30
ABREU;BAR;GENERAL CTRA. (BARRIO ERJOS) ;0;38470;0;0;0;LOS SILOS;0
ABREU;BAR;LOS QUEVEDOS-SAN JOSE, 1 SE);0;38420;0;0;0;SAN JUAN DE LA RAMBLA;28
ABREU;RESTAURANTE;CARRETERA PROVINCIAL 13;0;38390;0;0;0;SANTA URSULA;0
ABRIGO, EL;BAR;GENERAL PORLIER, 6 ;0;38004;0;0;0;SANTA CRUZ DE TENERIFE;10
ABRIGOS, LOS;RESTAURANTE;LA MARINA, 14 ;0;38639;0;0;0;GRANADILLA DE ABONA;74
ABSOLUT (ABSOLUTO);CAFETERIA;PLAYAZUL, L-12/13 ;0;38660;0;0;0;ADEJE;100
ABSOLUTAMENTE FABULOSO (ABSOLUTELY FABULOUS);RESTAURANTE;PUEBLO CANARIO, L-102  ;0;38638;0;0;0;ADEJE;36
ABUELO PANCHO;RESTAURANTE;C/ CUESTA LA PERDOMA, 63;63;38300;0;0;0;LA OROTAVA;0
ABUELO, EL;BAR;CALVO SOTELO, 20 ;0;38006;0;0;0;SANTA CRUZ DE TENERIFE;25
ABUELO, EL;TASCA;VOLCAN VESUBIO, 1 (CMNO. DE LA HORNERA);0;38108;372318;3148952;441;LA LAGUNA;48
ABUMA;BAR;DR. ANTONIO GONZALEZ, L-5 (EDIF. POLSA, 1º);0;38204;0;0;0;LA LAGUNA;0
ABYDOS;CAFETERIA;LAS PALMERAS, 30 AVDA. ;0;38660;0;0;0;ARONA;36
ACACIA;BAR;SOBRADILLO, 65 CTRA.;0;38000;0;0;0;SANTA CRUZ DE TENERIFE;0
ACACIAS, LAS;BAR;CAMINO LA HORNERA, 4 ;0;38000;0;0;0;LA LAGUNA;0
ACANTO;BAR;PLAYA DEL DUQUE, S/N. (C.C. EL MIRADOR, L-3);0;38660;0;0;0;ADEJE;0
ACAPULCO;BAR;ESMERALDA, L-5 EDIF. (CALLAO SALVAJE) ;0;38678;0;0;0;ADEJE;40
ACAPULCO;BAR;LAS AMERICAS ;0;38000;0;0;0;ADEJE;0
ACAPULCO;RESTAURANTE;LAS AMERICAS PYA. EDF. ACAPULCO ;0;38670;0;0;0;ADEJE;190
ACAYMO;RESTAURANTE;GENERAL DEL NORTE-CRUCE GUAMASA ;0;38330;0;0;0;LA LAGUNA;145
ACAYMO;BAR;MENCEY ACAYMO, 1  ;0;38000;0;0;0;SANTA CRUZ DE TENERIFE;0
